Corpus: Corpus 7| Search Term: real| Statistic: 03 - MI| Span: 5-5| Collocation freq. threshold: 5.0| Statistic value threshold: 5.0| CPN: 03 - MI/ L5-R5/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"○","R","hacienda","7.808466167393256","28","31"
"○","R","hazienda","7.797766565506438","26","29"
"○","R","zedula","7.732915579903842","6","7"
"○","L","procurador","7.440735058594297","7","10"
"○","R","cedula","7.292342625069695","36","57"
"○","R","caxa","7.27723552066791","5","8"
"○","R","aprovacion","7.218342637257987","6","10"
"○","R","audiencia","7.147952715734326","76","133"
"○","R","carzel","7.0808386740653635","6","11"
"○","R","agrado","7.0808386740653635","12","22"
"○","R","cédula","7.0622223198339","7","13"
"○","R","armada","6.955307425780083","6","12"
"○","L","palacio","6.80330433233555","9","20"
"○","R","resolución","6.4698811740695055","5","14"
"○","R","permiso","6.4698811740695055","5","14"
"○","L","importante","6.4698811740695055","5","14"
"○","R","decreto","6.4528068482965555","6","17"
"○","R","acuerdo","6.440734252950656","7","20"
"○","R","resolucion","6.431745644862915","8","23"
"●","R","clemencia","6.247488423899778","15","49"
"○","L","oficial","6.239100566920042","7","23"
"○","R","piedad","6.134277794836983","15","53"
"○","L","fuere","6.080838674066429","6","22"
"○","L","vuestro","6.029308219234981","5","19"
"○","R","animo","6.016708145585185","6","23"
"○","R","servicio","5.929772545684855","14","57"
"○","R","nombre","5.855772020776877","14","60"
"○","L","copia","5.839830518222858","6","26"
"●","R","m.","5.692273019947684","5","24"
"○","L","presidente","5.67519974354078","7","34"
"○","L","señores","5.612915512009914","14","71"
"○","R","nombrado","5.576796112389063","5","26"
"○","L","jurisdiccion","5.549315294117881","10","53"
"○","L","cumplimiento","5.495876173345273","6","33"
"○","R","tanto","5.477260232263044","7","39"
"○","R","madrid","5.4528073222043325","6","34"
"○","R","vm","5.317877792893373","9","56"
"○","R","quito","5.303231095401964","7","44"
"○","R","orden","5.30130346886561","17","107"
"○","L","sea","5.270809520054475","7","45"
"○","R","persona","5.270809520054475","7","45"
"○","R","yndulto","5.263429912961834","13","84"
"○","L","mi","5.222143624974589","57","379"
"○","R","magestad","5.175697689748188","15","103"
"○","R","sm","5.1687112390311265","20","138"
"○","R","guarde","5.016708145582957","6","46"
