Corpus: Corpus 3| Search Term: real| Statistic: 03 - MI| Span: 5-5| Collocation freq. threshold: 5.0| Statistic value threshold: 5.0| CPN: 03 - MI/ L5-R5/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"●","R","cedula","7.606248074526339","9","10"
"○","L","concedido","7.495216762137297","5","6"
"○","R","decreto","7.478143358101057","14","17"
"○","R","hacienda","7.298819718287176","8","11"
"○","R","acuerdo","6.758251167971092","11","22"
"○","R","nombre","6.642774093511906","6","13"
"○","R","audiencia","6.436323147423397","10","25"
"○","R","yndulto","6.353860954190802","17","45"
"○","L","usia","6.173288791148712","5","15"
"○","R","octubre","6.095286253063264","6","19"
"○","R","magestad","6.021285573804443","6","20"
"●","L","gracia","5.832251847228627","5","19"
"○","L","mi","5.699357503698413","18","75"
"○","R","orden","5.6207476442208915","5","22"
"○","L","s","5.173288667249936","5","30"
