Corpus: Corpus 4| Search Term: /.*ndult.*/i| Statistic: 03 - MI| Span: 5-5| Collocation freq. threshold: 5.0| Statistic value threshold: 5.0| CPN: 03 - MI/ L5-R5/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"○","L","declaro","7.464995006904348","5","6"
"○","L","aplicado","7.464995006904348","5","6"
"○","R","concedido","7.335711670976643","16","21"
"○","L","publicarse","7.242601628617895","5","7"
"○","L","comprehendido","7.213456239908189","7","10"
"○","R","expedido","7.1065410359925005","13","20"
"○","L","comprehendidos","7.02758969459705","16","26"
"○","L","comprendido","6.8535602948223415","12","22"
"○","L","publicar","6.802029641620982","10","19"
"○","R","publicado","6.789429666157281","24","46"
"○","L","transcripción","6.669135455738245","12","25"
"○","L","aplicacion","6.657639765864183","10","21"
"○","L","conceder","6.65002654817665","9","19"
"○","L","gozar","6.590525280019551","5","11"
"○","R","24","6.447921099508019","14","34"
"○","R","desertores","6.406100871274371","6","15"
"○","R","m","6.312991913460206","6","16"
"○","L","publicacion","6.299185922543857","13","35"
"○","L","comprendidos","6.225528678171846","6","17"
"○","L","exceptuados","6.143066465441257","5","15"
"○","L","solicitud","6.121371540979089","22","67"
"○","R","magestad","5.969037207757207","13","44"
"○","L","serán","5.962494272336124","5","17"
"○","L","cedula","5.920674490680878","8","28"
"○","R","enero","5.807463753843676","14","53"
"○","L","artículo","5.598746204402307","8","35"
"○","L","real","5.540402205336245","72","328"
"○","R","favor","5.442627022114405","8","39"
"○","L","gracia","5.381226477449974","23","117"
"○","R","s","5.268597591112297","6","33"
"○","R","reos","5.233264504903875","11","62"
"○","L","dicho","5.070916962880939","13","82"
"○","R","excelentísimo","5.0650640474569295","6","38"
"○","L","virtud","5.043531089607803","7","45"
"○","R","ahora","5.027589522837773","6","39"
"○","L","sala","5.005563185279251","5","33"
"○","R","pena","5.000108831785428","8","53"
