Corpus: Corpus 4| Search Term: real| Statistic: 03 - MI| Span: 5-5| Collocation freq. threshold: 5.0| Statistic value threshold: 5.0| CPN: 03 - MI/ L5-R5/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"○","R","cedula","8.040056994567411","26","28"
"○","R","cédula","7.9245792981058765","6","7"
"○","R","hacienda","7.533995211045684","17","26"
"○","R","órden","6.793335514632619","9","23"
"○","R","audiencia","6.774417987578715","56","145"
"○","R","orden","6.680654226198037","38","105"
"○","R","24","6.644471717060244","12","34"
"○","M","distrito","6.623410513190469","8","23"
"○","L","citada","6.430765435248281","7","23"
"●","R","piedad","6.392084643094581","8","27"
"○","R","decreto","6.298975238702754","10","36"
"○","L","comprendido","6.272503298314123","6","22"
"○","R","expedido","6.146972294293463","5","20"
"○","R","yndulto","6.103644775323638","41","169"
"○","R","enero","6.0040141632954755","12","53"
"●","R","clemencia","5.9543273001817845","7","32"
"○","R","carcel","5.924579777147294","6","28"
"○","R","supremo","5.861570041038703","8","39"
"○","L","esa","5.825043931141134","5","25"
"●","R","gracia","5.800169381730637","23","117"
"○","R","servicio","5.784402065873259","7","36"
"○","L","cumplimiento","5.446532541759033","6","39"
"○","R","abril","5.430765143657942","7","46"
"○","R","fecha","5.314082209532656","8","57"
"○","R","caracas","5.298975238700923","5","36"
"○","R","indulto","5.272503054440173","30","220"
"○","R","nombre","5.272502993470745","6","44"
"○","R","magestad","5.272502993470745","6","44"
"○","L","mi","5.173607304160327","41","322"
"○","R","autoridad","5.111348417276535","5","41"
"○","L","presidente","5.0880786052381985","6","50"
"○","L","mando","5.076582710912127","5","42"
