Corpus: Corpus 5| Search Term: /.*ndult.*/i| Statistic: 03 - MI| Span: 5-5| Collocation freq. threshold: 5.0| Statistic value threshold: 5.0| CPN: 03 - MI/ L5-R5/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"○","L","declaro","7.906160555060335","5","5"
"○","L","gozarán","7.768656762003847","10","11"
"○","R","extensivo","7.420732881498347","5","7"
"○","R","expedido","7.32119756061037","10","15"
"○","R","concedido","7.284671808017884","13","20"
"○","R","delincuentes","7.228088464800008","5","8"
"○","L","exemplares","7.058163154776757","5","9"
"○","L","comprehendido","7.058163154776757","5","9"
"○","L","gozar","7.031691167838302","6","11"
"○","L","comprendidos","6.906160061331827","9","18"
"○","L","conceder","6.828157419401648","9","19"
"●","R","soberano","6.4773168330605815","13","35"
"○","L","referido","6.420733410493112","5","14"
"○","L","igualmente","6.403659866017081","6","17"
"○","R","reos","6.140625242362128","10","34"
"○","R","generales","6.098805051107971","8","28"
"●","R","congreso","5.999269465722557","24","90"
"○","L","serán","5.906160184763969","5","20"
"○","R","sm","5.866631630425171","9","37"
"●","L","real","5.616653444135773","27","132"
"○","L","este","5.606599779472734","39","192"
"○","R","militares","5.446728442696033","6","33"
"○","L","solo","5.355963038982305","7","41"
"○","R","general","5.321197560609468","23","138"
"○","R","pena","5.254083420858092","7","44"
"○","R","tambien","5.183694036860254","5","33"
"○","R","todos","5.009995890736886","18","134"
