Corpus: Corpus 6| Search Term: congreso| Statistic: 03 - MI| Span: 10-10| Collocation freq. threshold: 5.0| Statistic value threshold: 3.0| CPN: 03 - MI/ L10-R10/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"○","M","74","10.685537024830492","6","4"
"○","L","atribuciones","10.270499525551704","9","8"
"○","L","cámara","8.33503998739096","5","17"
"○","R","artículo","7.586001588877048","7","40"
"○","L","granada","7.363609167540974","6","40"
"○","L","nueva","7.293219771764551","6","42"
"○","L","ejecutivo","6.313978351608039","5","69"
"○","L","poder","5.898940869544982","5","92"
"○","L","al","5.784670440528361","12","239"
"○","R","lo","5.293219805708182","5","140"
"○","L","sus","5.213049478120361","5","148"
"○","L","del","5.13974533936883","14","436"
"○","L","en","4.722793414043012","19","790"
"○","R","para","4.685537247575999","6","256"
"○","R","un","4.6346002692516555","5","221"
"○","L","el","4.612100322103438","19","853"
"○","L","la","4.463700152911038","29","1443"
"○","R","por","4.396177010469251","7","365"
"○","L","de","4.323812738465097","40","2193"
"○","R","á","4.185691358719625","9","543"
"○","L","i","4.169837400776473","12","732"
"○","L","las","4.126569948641185","7","440"
"○","R","no","4.000438064100014","5","343"
"○","L","se","3.8911213725369596","6","444"
"○","R","y","3.8375403410232907","5","384"
"○","L","que","3.7197529587529683","15","1250"
"○","R","los","3.7185992649173647","10","834"
